source,relation,target,target_type
Arthritis,treated_by,Nitroglycerin,treatment
Diabetes,causes,Cough,symptom
Tuberculosis,treated_by,Insulin,treatment
Angina,diagnosed_by,Urinalysis,diagnostic_test
Asthma,associated_with,Tuberculosis,disease
Conjunctivitis,treated_by,Nitroglycerin,treatment
Shortness of Breath,indicates,Bronchitis,disease
Angina,associated_with,Tuberculosis,disease
Dizziness,indicates,Asthma,disease
Diabetes,managed_by,Pulmonologist,specialist
Pneumonia,associated_with,Angina,disease
Migraine,causes,Dizziness,symptom
Fever,indicates,Pneumonia,disease
Angina,treated_by,Nitroglycerin,treatment
Dizziness,indicates,Tuberculosis,disease
COVID-19,managed_by,General Practitioner,specialist
Joint Pain,indicates,Hypertension,disease
Diabetes,causes,Nausea,symptom
Diabetes,diagnosed_by,CT Scan,diagnostic_test
COVID-19,diagnosed_by,CT Scan,diagnostic_test
Inhalers,prescribed_by,General Practitioner,specialist
Migraine,causes,Joint Pain,symptom
Migraine,diagnosed_by,ECG,diagnostic_test
Hypertension,treated_by,IV Fluids,treatment
Asthma,managed_by,Rheumatologist,specialist
Bronchitis,associated_with,Bronchitis,disease
Asthma,managed_by,Pulmonologist,specialist
Asthma,managed_by,Ophthalmologist,specialist
Conjunctivitis,associated_with,Migraine,disease
Influenza,treated_by,Corticosteroids,treatment
Hypertension,treated_by,IV Fluids,treatment
Arthritis,managed_by,Infectious Disease Specialist,specialist
Hypertension,diagnosed_by,MRI,diagnostic_test
Pneumonia,causes,Fever,symptom
Migraine,diagnosed_by,MRI,diagnostic_test
COVID-19,diagnosed_by,ECG,diagnostic_test
Migraine,managed_by,Cardiologist,specialist
Diabetes,diagnosed_by,CT Scan,diagnostic_test
Arthritis,treated_by,Antibiotics,treatment
Migraine,causes,Fatigue,symptom
Angina,causes,Chest Pain,symptom
Tuberculosis,associated_with,Migraine,disease
Tuberculosis,diagnosed_by,Urinalysis,diagnostic_test
Headache,indicates,Conjunctivitis,disease
Asthma,associated_with,Diabetes,disease
Arthritis,managed_by,General Practitioner,specialist
Shortness of Breath,indicates,Asthma,disease
Conjunctivitis,diagnosed_by,ECG,diagnostic_test
Cough,indicates,Asthma,disease
Migraine,treated_by,Eye Drops,treatment
Diabetes,associated_with,Bronchitis,disease
Hypertension,managed_by,Neurologist,specialist
Hypertension,treated_by,Antivirals,treatment
Diabetes,causes,Rash,symptom
Pneumonia,diagnosed_by,CT Scan,diagnostic_test
Bronchitis,causes,Dizziness,symptom
Tuberculosis,managed_by,Cardiologist,specialist
Migraine,associated_with,Angina,disease
Beta Blockers,prescribed_by,Endocrinologist,specialist
Arthritis,managed_by,Rheumatologist,specialist
Migraine,associated_with,Tuberculosis,disease
Diabetes,causes,Shortness of Breath,symptom
Bronchitis,treated_by,Antibiotics,treatment
Arthritis,causes,Blurred Vision,symptom
Hypertension,diagnosed_by,ECG,diagnostic_test
Antivirals,prescribed_by,Pulmonologist,specialist
Fever,indicates,Pneumonia,disease
Influenza,causes,Rash,symptom
IV Fluids,prescribed_by,Dermatologist,specialist
Conjunctivitis,managed_by,Endocrinologist,specialist
Bronchitis,diagnosed_by,MRI,diagnostic_test
ACE Inhibitors,prescribed_by,Rheumatologist,specialist
Pneumonia,managed_by,Dermatologist,specialist
Hypertension,diagnosed_by,X-Ray,diagnostic_test
Angina,causes,Fever,symptom
Conjunctivitis,causes,Cough,symptom
Tuberculosis,treated_by,Antibiotics,treatment
COVID-19,diagnosed_by,Blood Test,diagnostic_test
Dizziness,indicates,Migraine,disease
Conjunctivitis,causes,Rash,symptom
Rash,indicates,Migraine,disease
Angina,causes,Shortness of Breath,symptom
Diabetes,associated_with,Hypertension,disease
Bronchitis,associated_with,Hypertension,disease
Angina,diagnosed_by,CT Scan,diagnostic_test
Hypertension,associated_with,Arthritis,disease
Inhalers,prescribed_by,Pulmonologist,specialist
Conjunctivitis,causes,Fever,symptom
ACE Inhibitors,prescribed_by,General Practitioner,specialist
Diabetes,managed_by,Ophthalmologist,specialist
Tuberculosis,associated_with,Conjunctivitis,disease
Asthma,diagnosed_by,ECG,diagnostic_test
Diabetes,causes,Sore Throat,symptom
Arthritis,associated_with,Tuberculosis,disease
Diabetes,causes,Dizziness,symptom
Migraine,diagnosed_by,Urinalysis,diagnostic_test
Asthma,diagnosed_by,X-Ray,diagnostic_test
COVID-19,causes,Chest Pain,symptom
Tuberculosis,diagnosed_by,Blood Test,diagnostic_test
Cough,indicates,Conjunctivitis,disease
Beta Blockers,prescribed_by,General Practitioner,specialist
Inhalers,prescribed_by,Endocrinologist,specialist
Asthma,causes,Sore Throat,symptom
Hypertension,causes,Dizziness,symptom
Migraine,managed_by,Ophthalmologist,specialist
Antivirals,prescribed_by,Pulmonologist,specialist
Joint Pain,indicates,Hypertension,disease
Influenza,associated_with,Influenza,disease
Sore Throat,indicates,Hypertension,disease
Pneumonia,managed_by,Infectious Disease Specialist,specialist
Migraine,associated_with,Pneumonia,disease
Influenza,diagnosed_by,Urinalysis,diagnostic_test
IV Fluids,prescribed_by,Dermatologist,specialist
Nausea,indicates,Influenza,disease
Bronchitis,treated_by,Antivirals,treatment
Bronchitis,associated_with,Influenza,disease
Fatigue,indicates,Bronchitis,disease
Pneumonia,treated_by,Nitroglycerin,treatment
Antivirals,prescribed_by,Neurologist,specialist
Angina,managed_by,Ophthalmologist,specialist
Asthma,diagnosed_by,X-Ray,diagnostic_test
Bronchitis,associated_with,Migraine,disease
Rash,indicates,Pneumonia,disease
Antibiotics,prescribed_by,Infectious Disease Specialist,specialist
ACE Inhibitors,prescribed_by,Infectious Disease Specialist,specialist
COVID-19,managed_by,Pulmonologist,specialist
Diabetes,managed_by,Rheumatologist,specialist
Conjunctivitis,treated_by,Corticosteroids,treatment
Influenza,associated_with,Bronchitis,disease
Antivirals,prescribed_by,Dermatologist,specialist
Fever,indicates,Influenza,disease
Shortness of Breath,indicates,Angina,disease
Diabetes,associated_with,Pneumonia,disease
Influenza,associated_with,Arthritis,disease
Pneumonia,causes,Nausea,symptom
Shortness of Breath,indicates,Hypertension,disease
Nausea,indicates,COVID-19,disease
Diabetes,causes,Fever,symptom
Inhalers,prescribed_by,Endocrinologist,specialist
Headache,indicates,Arthritis,disease
Chest Pain,indicates,Migraine,disease
Bronchitis,causes,Nausea,symptom
Arthritis,associated_with,Migraine,disease
Bronchitis,causes,Sore Throat,symptom
Conjunctivitis,managed_by,Endocrinologist,specialist
Influenza,diagnosed_by,ECG,diagnostic_test
NSAIDs,prescribed_by,Cardiologist,specialist
Angina,treated_by,Nitroglycerin,treatment
Inhalers,prescribed_by,Cardiologist,specialist
Pneumonia,managed_by,Cardiologist,specialist
Hypertension,managed_by,Dermatologist,specialist
Pneumonia,causes,Cough,symptom
Antivirals,prescribed_by,Neurologist,specialist
Sore Throat,indicates,Arthritis,disease
Tuberculosis,diagnosed_by,MRI,diagnostic_test
Angina,associated_with,Diabetes,disease
Eye Drops,prescribed_by,Pulmonologist,specialist
Influenza,causes,Cough,symptom
Arthritis,diagnosed_by,ECG,diagnostic_test
Migraine,diagnosed_by,Blood Test,diagnostic_test
Pneumonia,diagnosed_by,Urinalysis,diagnostic_test
Pneumonia,diagnosed_by,Urinalysis,diagnostic_test
Bronchitis,causes,Rash,symptom
Tuberculosis,diagnosed_by,MRI,diagnostic_test
Conjunctivitis,managed_by,Cardiologist,specialist
Bronchitis,managed_by,Rheumatologist,specialist
Arthritis,managed_by,Cardiologist,specialist
Hypertension,managed_by,Ophthalmologist,specialist
Bronchitis,associated_with,Conjunctivitis,disease
Pain Relievers,prescribed_by,Endocrinologist,specialist
Pneumonia,associated_with,Hypertension,disease
Conjunctivitis,treated_by,Pain Relievers,treatment
Diabetes,associated_with,Diabetes,disease
Conjunctivitis,treated_by,Insulin,treatment
Pneumonia,diagnosed_by,CT Scan,diagnostic_test
Angina,treated_by,Beta Blockers,treatment
COVID-19,diagnosed_by,MRI,diagnostic_test
Pain Relievers,prescribed_by,Infectious Disease Specialist,specialist
Asthma,causes,Headache,symptom
Rash,indicates,Diabetes,disease
Bronchitis,associated_with,Angina,disease
Hypertension,diagnosed_by,CT Scan,diagnostic_test
Headache,indicates,Diabetes,disease
Hypertension,managed_by,Dermatologist,specialist
Blurred Vision,indicates,Diabetes,disease
Dizziness,indicates,Tuberculosis,disease
NSAIDs,prescribed_by,Pulmonologist,specialist
Diabetes,associated_with,COVID-19,disease
Asthma,causes,Shortness of Breath,symptom
Hypertension,associated_with,Hypertension,disease
Asthma,diagnosed_by,Urinalysis,diagnostic_test
Migraine,causes,Sore Throat,symptom
Nausea,indicates,Pneumonia,disease
Diabetes,associated_with,Migraine,disease
COVID-19,causes,Fever,symptom
Chest Pain,indicates,Angina,disease
Arthritis,diagnosed_by,Urinalysis,diagnostic_test
Migraine,causes,Chest Pain,symptom
Pneumonia,diagnosed_by,ECG,diagnostic_test
Influenza,causes,Cough,symptom
Beta Blockers,prescribed_by,Rheumatologist,specialist
Hypertension,associated_with,Conjunctivitis,disease
Influenza,diagnosed_by,ECG,diagnostic_test
COVID-19,causes,Shortness of Breath,symptom
Arthritis,managed_by,General Practitioner,specialist
Diabetes,treated_by,Insulin,treatment
Bronchitis,causes,Nausea,symptom
Pneumonia,managed_by,Neurologist,specialist
Nausea,indicates,Pneumonia,disease
Conjunctivitis,treated_by,Insulin,treatment
Arthritis,treated_by,NSAIDs,treatment
Bronchitis,treated_by,ACE Inhibitors,treatment
Conjunctivitis,managed_by,Neurologist,specialist
Tuberculosis,treated_by,Insulin,treatment
Angina,associated_with,Diabetes,disease
Conjunctivitis,causes,Headache,symptom
Bronchitis,associated_with,Asthma,disease
Angina,managed_by,Dermatologist,specialist
Asthma,treated_by,ACE Inhibitors,treatment
Hypertension,associated_with,Diabetes,disease
Eye Drops,prescribed_by,Pulmonologist,specialist
Conjunctivitis,diagnosed_by,CT Scan,diagnostic_test
Arthritis,managed_by,Neurologist,specialist
Headache,indicates,Hypertension,disease
Conjunctivitis,causes,Headache,symptom
Arthritis,diagnosed_by,ECG,diagnostic_test
Asthma,treated_by,Insulin,treatment
Conjunctivitis,associated_with,Bronchitis,disease
Angina,causes,Blurred Vision,symptom
Bronchitis,managed_by,Pulmonologist,specialist
Conjunctivitis,treated_by,Eye Drops,treatment
Cough,indicates,Diabetes,disease
Angina,diagnosed_by,MRI,diagnostic_test
Migraine,treated_by,Eye Drops,treatment
Headache,indicates,Conjunctivitis,disease
Hypertension,causes,Rash,symptom
IV Fluids,prescribed_by,Rheumatologist,specialist
Diabetes,causes,Blurred Vision,symptom
Diabetes,managed_by,Dermatologist,specialist
Angina,associated_with,Asthma,disease
Arthritis,managed_by,Neurologist,specialist
COVID-19,managed_by,Pulmonologist,specialist
Asthma,diagnosed_by,X-Ray,diagnostic_test
Diabetes,causes,Sore Throat,symptom
Fever,indicates,Asthma,disease
COVID-19,causes,Cough,symptom
Migraine,managed_by,Pulmonologist,specialist
Diabetes,causes,Fever,symptom
Tuberculosis,managed_by,General Practitioner,specialist
Pneumonia,associated_with,Angina,disease
Beta Blockers,prescribed_by,Neurologist,specialist
Diabetes,treated_by,NSAIDs,treatment
Angina,treated_by,Eye Drops,treatment
Migraine,treated_by,Antivirals,treatment
Tuberculosis,managed_by,Cardiologist,specialist
Influenza,associated_with,Arthritis,disease
Angina,diagnosed_by,CT Scan,diagnostic_test
IV Fluids,prescribed_by,General Practitioner,specialist
Tuberculosis,diagnosed_by,Blood Test,diagnostic_test
Shortness of Breath,indicates,Arthritis,disease
Arthritis,diagnosed_by,ECG,diagnostic_test
Hypertension,associated_with,Pneumonia,disease
Inhalers,prescribed_by,Pulmonologist,specialist
Hypertension,associated_with,Hypertension,disease
Influenza,associated_with,Asthma,disease
Dizziness,indicates,Asthma,disease
Influenza,managed_by,Ophthalmologist,specialist
Sore Throat,indicates,Asthma,disease
Migraine,managed_by,Neurologist,specialist
IV Fluids,prescribed_by,Rheumatologist,specialist
NSAIDs,prescribed_by,Neurologist,specialist
Influenza,managed_by,Cardiologist,specialist
Hypertension,causes,Fatigue,symptom
Diabetes,diagnosed_by,ECG,diagnostic_test
Sore Throat,indicates,Hypertension,disease
Pneumonia,causes,Joint Pain,symptom
Inhalers,prescribed_by,Cardiologist,specialist
Arthritis,treated_by,Inhalers,treatment
Pneumonia,associated_with,Pneumonia,disease
Hypertension,managed_by,Endocrinologist,specialist
Tuberculosis,causes,Sore Throat,symptom
Tuberculosis,associated_with,Asthma,disease
Hypertension,treated_by,Beta Blockers,treatment
Angina,diagnosed_by,Urinalysis,diagnostic_test
Chest Pain,indicates,Arthritis,disease
Conjunctivitis,associated_with,Asthma,disease
Angina,causes,Cough,symptom
Asthma,associated_with,Arthritis,disease
COVID-19,associated_with,Asthma,disease
Sore Throat,indicates,Asthma,disease
Bronchitis,treated_by,ACE Inhibitors,treatment
Influenza,associated_with,Asthma,disease
Bronchitis,managed_by,Rheumatologist,specialist
Arthritis,managed_by,Dermatologist,specialist
Pneumonia,managed_by,Endocrinologist,specialist
Tuberculosis,managed_by,Neurologist,specialist
Asthma,treated_by,Pain Relievers,treatment
Arthritis,causes,Chest Pain,symptom
NSAIDs,prescribed_by,Pulmonologist,specialist
Bronchitis,associated_with,Bronchitis,disease
Angina,managed_by,Pulmonologist,specialist
Bronchitis,treated_by,Beta Blockers,treatment
Conjunctivitis,associated_with,Conjunctivitis,disease
Angina,causes,Dizziness,symptom
Conjunctivitis,associated_with,Tuberculosis,disease
Conjunctivitis,diagnosed_by,X-Ray,diagnostic_test
Arthritis,diagnosed_by,Urinalysis,diagnostic_test
Diabetes,causes,Fever,symptom
Angina,diagnosed_by,Urinalysis,diagnostic_test
Diabetes,managed_by,Cardiologist,specialist
Tuberculosis,managed_by,General Practitioner,specialist
Arthritis,treated_by,Inhalers,treatment
Insulin,prescribed_by,Cardiologist,specialist
COVID-19,associated_with,Migraine,disease
COVID-19,managed_by,Neurologist,specialist
Hypertension,associated_with,Pneumonia,disease
Influenza,treated_by,Insulin,treatment
NSAIDs,prescribed_by,Endocrinologist,specialist
Conjunctivitis,associated_with,Hypertension,disease
Chest Pain,indicates,Influenza,disease
Hypertension,managed_by,Neurologist,specialist
Diabetes,causes,Shortness of Breath,symptom
Cough,indicates,Influenza,disease
Angina,associated_with,Influenza,disease
Migraine,causes,Dizziness,symptom
Insulin,prescribed_by,Endocrinologist,specialist
Hypertension,diagnosed_by,X-Ray,diagnostic_test
Fever,indicates,Influenza,disease
Pneumonia,associated_with,Influenza,disease
Conjunctivitis,associated_with,Conjunctivitis,disease
Angina,managed_by,Infectious Disease Specialist,specialist
Insulin,prescribed_by,Cardiologist,specialist
Insulin,prescribed_by,Neurologist,specialist
Influenza,managed_by,Ophthalmologist,specialist
Cough,indicates,Arthritis,disease
Influenza,associated_with,Bronchitis,disease
COVID-19,managed_by,Neurologist,specialist
Influenza,causes,Rash,symptom
Arthritis,managed_by,Endocrinologist,specialist
Fever,indicates,Angina,disease
Angina,diagnosed_by,CT Scan,diagnostic_test
Asthma,diagnosed_by,Urinalysis,diagnostic_test
Bronchitis,diagnosed_by,X-Ray,diagnostic_test
Hypertension,associated_with,Asthma,disease
Hypertension,diagnosed_by,X-Ray,diagnostic_test
Influenza,diagnosed_by,Blood Test,diagnostic_test
Fatigue,indicates,Pneumonia,disease
Bronchitis,treated_by,Insulin,treatment
Insulin,prescribed_by,General Practitioner,specialist
Blurred Vision,indicates,Hypertension,disease
Pneumonia,treated_by,Antibiotics,treatment
Nitroglycerin,prescribed_by,Cardiologist,specialist
Dizziness,indicates,Tuberculosis,disease
Asthma,diagnosed_by,MRI,diagnostic_test
Fatigue,indicates,Asthma,disease
Corticosteroids,prescribed_by,Dermatologist,specialist
Pneumonia,associated_with,Pneumonia,disease
ACE Inhibitors,prescribed_by,Cardiologist,specialist
Angina,causes,Cough,symptom
COVID-19,diagnosed_by,Blood Test,diagnostic_test
Pain Relievers,prescribed_by,Ophthalmologist,specialist
IV Fluids,prescribed_by,Infectious Disease Specialist,specialist
COVID-19,treated_by,Insulin,treatment
Nitroglycerin,prescribed_by,Cardiologist,specialist
Fever,indicates,Tuberculosis,disease
COVID-19,associated_with,Conjunctivitis,disease
Bronchitis,associated_with,Arthritis,disease
Migraine,causes,Sore Throat,symptom
Hypertension,managed_by,Endocrinologist,specialist
Chest Pain,indicates,Arthritis,disease
Nausea,indicates,Diabetes,disease
COVID-19,causes,Sore Throat,symptom
Hypertension,associated_with,Arthritis,disease
Antibiotics,prescribed_by,Dermatologist,specialist
Tuberculosis,causes,Sore Throat,symptom
Nitroglycerin,prescribed_by,Infectious Disease Specialist,specialist
COVID-19,causes,Fever,symptom
Tuberculosis,causes,Shortness of Breath,symptom
Angina,treated_by,Eye Drops,treatment
Hypertension,diagnosed_by,Urinalysis,diagnostic_test
Asthma,managed_by,Cardiologist,specialist
COVID-19,treated_by,NSAIDs,treatment
Influenza,causes,Fatigue,symptom
Eye Drops,prescribed_by,General Practitioner,specialist
Sore Throat,indicates,Migraine,disease
Asthma,diagnosed_by,Blood Test,diagnostic_test
Asthma,managed_by,Endocrinologist,specialist
Blurred Vision,indicates,Hypertension,disease
Headache,indicates,Asthma,disease
Bronchitis,managed_by,Neurologist,specialist
Diabetes,treated_by,Eye Drops,treatment
Blurred Vision,indicates,Influenza,disease
Asthma,causes,Dizziness,symptom
Hypertension,managed_by,Infectious Disease Specialist,specialist
IV Fluids,prescribed_by,Cardiologist,specialist
Influenza,causes,Shortness of Breath,symptom
Asthma,causes,Headache,symptom
Hypertension,managed_by,Infectious Disease Specialist,specialist
Bronchitis,treated_by,Antivirals,treatment
Pain Relievers,prescribed_by,Endocrinologist,specialist
Pain Relievers,prescribed_by,General Practitioner,specialist
Asthma,associated_with,Conjunctivitis,disease
Angina,treated_by,Insulin,treatment
Diabetes,diagnosed_by,Urinalysis,diagnostic_test
Arthritis,associated_with,Conjunctivitis,disease
Beta Blockers,prescribed_by,Neurologist,specialist
Pneumonia,treated_by,ACE Inhibitors,treatment
COVID-19,diagnosed_by,Urinalysis,diagnostic_test
COVID-19,causes,Fatigue,symptom
Blurred Vision,indicates,Diabetes,disease
Pain Relievers,prescribed_by,Dermatologist,specialist
Bronchitis,associated_with,Angina,disease
Angina,diagnosed_by,MRI,diagnostic_test
ACE Inhibitors,prescribed_by,Infectious Disease Specialist,specialist
Migraine,diagnosed_by,CT Scan,diagnostic_test
Tuberculosis,treated_by,Antibiotics,treatment
Arthritis,diagnosed_by,Urinalysis,diagnostic_test
Arthritis,causes,Shortness of Breath,symptom
Tuberculosis,diagnosed_by,CT Scan,diagnostic_test
Conjunctivitis,treated_by,Eye Drops,treatment
Conjunctivitis,associated_with,Diabetes,disease
Beta Blockers,prescribed_by,Infectious Disease Specialist,specialist
Rash,indicates,Conjunctivitis,disease
Cough,indicates,Hypertension,disease
Tuberculosis,treated_by,Antivirals,treatment
Angina,associated_with,Influenza,disease
Asthma,diagnosed_by,Blood Test,diagnostic_test
Cough,indicates,Bronchitis,disease
Diabetes,associated_with,Influenza,disease
Diabetes,managed_by,Rheumatologist,specialist
Shortness of Breath,indicates,Tuberculosis,disease
Diabetes,diagnosed_by,Blood Test,diagnostic_test
Beta Blockers,prescribed_by,Endocrinologist,specialist
Hypertension,causes,Headache,symptom
Influenza,treated_by,Antivirals,treatment
COVID-19,causes,Shortness of Breath,symptom
Pneumonia,managed_by,Pulmonologist,specialist
Cough,indicates,Arthritis,disease
Influenza,managed_by,Neurologist,specialist
COVID-19,treated_by,Antivirals,treatment
Conjunctivitis,associated_with,Conjunctivitis,disease
Tuberculosis,treated_by,Pain Relievers,treatment
Hypertension,managed_by,General Practitioner,specialist
Pneumonia,managed_by,Endocrinologist,specialist
Influenza,causes,Cough,symptom
Pneumonia,treated_by,ACE Inhibitors,treatment
Shortness of Breath,indicates,COVID-19,disease
Arthritis,associated_with,Tuberculosis,disease
Diabetes,treated_by,Antibiotics,treatment
Influenza,associated_with,Influenza,disease
Diabetes,treated_by,Antibiotics,treatment
Hypertension,diagnosed_by,Urinalysis,diagnostic_test
Diabetes,managed_by,Cardiologist,specialist
Pneumonia,treated_by,Corticosteroids,treatment
Arthritis,treated_by,Antivirals,treatment
Tuberculosis,managed_by,Infectious Disease Specialist,specialist
Tuberculosis,associated_with,Pneumonia,disease
Arthritis,associated_with,Influenza,disease
Tuberculosis,managed_by,Pulmonologist,specialist
Eye Drops,prescribed_by,General Practitioner,specialist
Beta Blockers,prescribed_by,Pulmonologist,specialist
Asthma,causes,Headache,symptom
Migraine,causes,Dizziness,symptom
Asthma,associated_with,Angina,disease
Tuberculosis,diagnosed_by,Blood Test,diagnostic_test
Fever,indicates,Influenza,disease
Joint Pain,indicates,COVID-19,disease
Influenza,treated_by,Inhalers,treatment
Asthma,causes,Cough,symptom
Asthma,treated_by,Antivirals,treatment
Migraine,managed_by,Endocrinologist,specialist
Influenza,diagnosed_by,MRI,diagnostic_test
Tuberculosis,managed_by,General Practitioner,specialist
Pneumonia,associated_with,Bronchitis,disease
Asthma,causes,Rash,symptom
Inhalers,prescribed_by,Ophthalmologist,specialist
Influenza,associated_with,Angina,disease
Diabetes,associated_with,Arthritis,disease
Asthma,managed_by,Dermatologist,specialist
Angina,diagnosed_by,CT Scan,diagnostic_test
Conjunctivitis,associated_with,Angina,disease
Conjunctivitis,associated_with,Hypertension,disease
Fever,indicates,Diabetes,disease
Angina,causes,Headache,symptom
Beta Blockers,prescribed_by,Dermatologist,specialist
Headache,indicates,Asthma,disease
Blurred Vision,indicates,COVID-19,disease
Migraine,managed_by,Rheumatologist,specialist
Tuberculosis,associated_with,Diabetes,disease
Blurred Vision,indicates,Asthma,disease
Influenza,causes,Cough,symptom
Tuberculosis,associated_with,Migraine,disease
Pneumonia,associated_with,Influenza,disease
Shortness of Breath,indicates,Migraine,disease
Inhalers,prescribed_by,Infectious Disease Specialist,specialist
Arthritis,managed_by,Cardiologist,specialist
Influenza,managed_by,Infectious Disease Specialist,specialist
Influenza,treated_by,Antivirals,treatment
Antibiotics,prescribed_by,Rheumatologist,specialist
Diabetes,associated_with,Bronchitis,disease
Arthritis,managed_by,Pulmonologist,specialist
Influenza,managed_by,General Practitioner,specialist
Asthma,associated_with,Diabetes,disease
Bronchitis,associated_with,Angina,disease
Tuberculosis,treated_by,Antibiotics,treatment
COVID-19,associated_with,Migraine,disease
Nausea,indicates,Hypertension,disease
Pneumonia,causes,Fever,symptom
Hypertension,managed_by,Ophthalmologist,specialist
Insulin,prescribed_by,Ophthalmologist,specialist
Influenza,managed_by,Pulmonologist,specialist
Arthritis,managed_by,Endocrinologist,specialist
Arthritis,treated_by,NSAIDs,treatment
Influenza,diagnosed_by,CT Scan,diagnostic_test
Influenza,managed_by,Ophthalmologist,specialist
COVID-19,diagnosed_by,ECG,diagnostic_test
Pneumonia,associated_with,COVID-19,disease
Diabetes,causes,Fever,symptom
IV Fluids,prescribed_by,Rheumatologist,specialist
COVID-19,associated_with,Arthritis,disease
Conjunctivitis,treated_by,Corticosteroids,treatment
Rash,indicates,Influenza,disease
Antibiotics,prescribed_by,Pulmonologist,specialist
Influenza,treated_by,Corticosteroids,treatment
Diabetes,managed_by,Cardiologist,specialist
Bronchitis,causes,Rash,symptom
Asthma,causes,Headache,symptom
Conjunctivitis,managed_by,Endocrinologist,specialist
ACE Inhibitors,prescribed_by,Infectious Disease Specialist,specialist
Chest Pain,indicates,COVID-19,disease
Nausea,indicates,Diabetes,disease
Diabetes,treated_by,Insulin,treatment
Dizziness,indicates,COVID-19,disease
Influenza,treated_by,NSAIDs,treatment
Antivirals,prescribed_by,General Practitioner,specialist
Asthma,diagnosed_by,MRI,diagnostic_test
Joint Pain,indicates,Arthritis,disease
Diabetes,causes,Chest Pain,symptom
Bronchitis,diagnosed_by,X-Ray,diagnostic_test
Hypertension,managed_by,Ophthalmologist,specialist
Arthritis,causes,Rash,symptom
Asthma,managed_by,Infectious Disease Specialist,specialist
Bronchitis,managed_by,Ophthalmologist,specialist
Nausea,indicates,Asthma,disease
Antivirals,prescribed_by,Dermatologist,specialist
Nitroglycerin,prescribed_by,Dermatologist,specialist
Antibiotics,prescribed_by,Dermatologist,specialist
Hypertension,associated_with,Bronchitis,disease
Pain Relievers,prescribed_by,Neurologist,specialist
Fatigue,indicates,Asthma,disease
Pneumonia,diagnosed_by,CT Scan,diagnostic_test
Bronchitis,treated_by,Inhalers,treatment
Inhalers,prescribed_by,General Practitioner,specialist
Rash,indicates,Pneumonia,disease
Fatigue,indicates,Migraine,disease
Rash,indicates,Influenza,disease
IV Fluids,prescribed_by,Infectious Disease Specialist,specialist
Arthritis,treated_by,Antibiotics,treatment
Nausea,indicates,Arthritis,disease
Arthritis,causes,Shortness of Breath,symptom
COVID-19,diagnosed_by,CT Scan,diagnostic_test
Arthritis,causes,Sore Throat,symptom
Hypertension,diagnosed_by,Blood Test,diagnostic_test
Angina,associated_with,Angina,disease
Arthritis,causes,Rash,symptom
Insulin,prescribed_by,Pulmonologist,specialist
Rash,indicates,Bronchitis,disease
Conjunctivitis,associated_with,Angina,disease
Beta Blockers,prescribed_by,Infectious Disease Specialist,specialist
Asthma,associated_with,COVID-19,disease
Migraine,diagnosed_by,Blood Test,diagnostic_test
Hypertension,treated_by,Insulin,treatment
Diabetes,diagnosed_by,MRI,diagnostic_test
Hypertension,managed_by,Endocrinologist,specialist
Migraine,causes,Dizziness,symptom
Bronchitis,treated_by,IV Fluids,treatment
Arthritis,causes,Dizziness,symptom
Shortness of Breath,indicates,Pneumonia,disease
Joint Pain,indicates,Conjunctivitis,disease
COVID-19,managed_by,Pulmonologist,specialist
COVID-19,diagnosed_by,X-Ray,diagnostic_test
Angina,diagnosed_by,MRI,diagnostic_test
Tuberculosis,associated_with,Influenza,disease
Angina,managed_by,Dermatologist,specialist
Angina,managed_by,Endocrinologist,specialist
Pneumonia,diagnosed_by,ECG,diagnostic_test
Eye Drops,prescribed_by,General Practitioner,specialist
Influenza,treated_by,Corticosteroids,treatment
Cough,indicates,Pneumonia,disease
Antibiotics,prescribed_by,Rheumatologist,specialist
Diabetes,causes,Joint Pain,symptom
Conjunctivitis,diagnosed_by,MRI,diagnostic_test
Antibiotics,prescribed_by,Endocrinologist,specialist
Sore Throat,indicates,Conjunctivitis,disease
Migraine,diagnosed_by,CT Scan,diagnostic_test
Angina,treated_by,Pain Relievers,treatment
Pneumonia,treated_by,Antivirals,treatment
COVID-19,causes,Fever,symptom
Diabetes,associated_with,Conjunctivitis,disease
Arthritis,associated_with,Pneumonia,disease
Hypertension,managed_by,Neurologist,specialist
Angina,managed_by,Endocrinologist,specialist
COVID-19,diagnosed_by,ECG,diagnostic_test
Pneumonia,causes,Chest Pain,symptom
Migraine,diagnosed_by,ECG,diagnostic_test
Migraine,diagnosed_by,CT Scan,diagnostic_test
Diabetes,diagnosed_by,X-Ray,diagnostic_test
Bronchitis,managed_by,Endocrinologist,specialist
Pain Relievers,prescribed_by,Ophthalmologist,specialist
Arthritis,associated_with,Bronchitis,disease
Asthma,treated_by,Inhalers,treatment
Eye Drops,prescribed_by,Pulmonologist,specialist
Bronchitis,treated_by,IV Fluids,treatment
IV Fluids,prescribed_by,Dermatologist,specialist
Influenza,associated_with,Diabetes,disease
Conjunctivitis,causes,Dizziness,symptom
Asthma,treated_by,Beta Blockers,treatment
Influenza,diagnosed_by,MRI,diagnostic_test
Tuberculosis,managed_by,General Practitioner,specialist
Fever,indicates,Pneumonia,disease
Headache,indicates,Migraine,disease
Chest Pain,indicates,Influenza,disease
Migraine,managed_by,Endocrinologist,specialist
Tuberculosis,diagnosed_by,Blood Test,diagnostic_test
Bronchitis,associated_with,Hypertension,disease
COVID-19,associated_with,Conjunctivitis,disease
